Epoch,tr1,val1,tr2,val2,tr3,val3,tr4,val4,tr5,val5
0,0.7144265174865723,0.722213864326477,0.7300148010253906,0.7018685340881348,0.734528660774231,0.6783426403999329,0.7268850803375244,0.7341200113296509,0.7411973476409912,0.6988400220870972
1,0.7581285238265991,0.7181668281555176,0.7543879747390747,0.6734949350357056,0.7567395567893982,0.6941469311714172,0.7426311373710632,0.6578909158706665,0.7426846027374268,0.6744543313980103
2,0.7587951421737671,0.6731683015823364,0.7853556871414185,0.7079911231994629,0.7681838274002075,0.7266248464584351,0.7649336457252502,0.7118374705314636,0.7705106735229492,0.7186459302902222
3,0.7661175727844238,0.7417954206466675,0.7800842523574829,0.728441596031189,0.778755784034729,0.7504442930221558,0.7625020742416382,0.7222228050231934,0.779433012008667,0.7328920960426331
4,0.7819646000862122,0.7151482701301575,0.8027329444885254,0.7223023176193237,0.7872610092163086,0.750433087348938,0.762768030166626,0.6774563789367676,0.7763261795043945,0.7379969954490662
5,0.7780555486679077,0.7626035213470459,0.7960541248321533,0.7448983192443848,0.7880477905273438,0.728302001953125,0.7863744497299194,0.7503540515899658,0.7526242733001709,0.7607883214950562
6,0.8001416325569153,0.7395821809768677,0.8085736632347107,0.7496050596237183,0.7836060523986816,0.7325085997581482,0.7975878715515137,0.7426190376281738,0.7851014137268066,0.7511494159698486
7,0.8035585880279541,0.7533015012741089,0.8066354990005493,0.7551800012588501,0.8033443689346313,0.7703049182891846,0.8024919033050537,0.7470672130584717,0.8036951422691345,0.7337487936019897
8,0.7970356345176697,0.7642080783843994,0.8193362951278687,0.7548967003822327,0.7991835474967957,0.7661370038986206,0.8135325312614441,0.7672093510627747,0.7792243957519531,0.7665340900421143
9,0.8053584694862366,0.751991868019104,0.8185283541679382,0.7620239853858948,0.8156360387802124,0.7899422645568848,0.806421160697937,0.7157729864120483,0.817109227180481,0.7517858743667603
10,0.8176029920578003,0.76192706823349,0.8267251253128052,0.7684316635131836,0.8210084438323975,0.7890297174453735,0.8119518160820007,0.7284671068191528,0.829889178276062,0.7569588422775269
11,0.8215339183807373,0.7598052620887756,0.8246140480041504,0.7553530931472778,0.8272343873977661,0.7858152389526367,0.8176678419113159,0.7429561614990234,0.8294506072998047,0.7302916049957275
12,0.8211690187454224,0.7696330547332764,0.8244743347167969,0.755186915397644,0.826313853263855,0.7780823707580566,0.8260095119476318,0.7468740344047546,0.8297203779220581,0.7440398335456848
13,0.825985312461853,0.7668623924255371,0.8343851566314697,0.7763776779174805,0.8346268534660339,0.7843591570854187,0.818317174911499,0.7788963317871094,0.8234325647354126,0.7584883570671082
14,0.8345018625259399,0.7541889548301697,0.8341168761253357,0.7685463428497314,0.8441600799560547,0.7713812589645386,0.8320443630218506,0.7826358079910278,0.8246541023254395,0.7581301331520081
15,0.8269782662391663,0.7703186273574829,0.8368951082229614,0.7595832347869873,0.8431306481361389,0.7719409465789795,0.8301153182983398,0.7646103501319885,0.8268118500709534,0.7652409076690674
16,0.8211114406585693,0.7655763626098633,0.8394172191619873,0.780460774898529,0.8374595642089844,0.7844499945640564,0.836374044418335,0.7721647024154663,0.8443089723587036,0.761914074420929
17,0.8305251002311707,0.7373139262199402,0.8371178507804871,0.7712647914886475,0.8376502990722656,0.771138072013855,0.8458962440490723,0.7762231826782227,0.8366705179214478,0.7711584568023682
18,0.8369114398956299,0.7668948173522949,0.8427072167396545,0.770038366317749,0.8391695022583008,0.7852218151092529,0.8344241380691528,0.7566275596618652,0.850504994392395,0.7645331621170044
19,0.8398236036300659,0.7634783387184143,0.8462421894073486,0.7612310647964478,0.8392328023910522,0.7642323970794678,0.8403739333152771,0.7814895510673523,0.8469401597976685,0.7481814026832581
20,0.8528993129730225,0.7743963003158569,0.8447153568267822,0.7510634660720825,0.8495635986328125,0.7699089646339417,0.8406347036361694,0.7677335739135742,0.8429949283599854,0.773991584777832
21,0.8458765745162964,0.7686545848846436,0.8523122072219849,0.7703049182891846,0.8471671342849731,0.7738670110702515,0.8454828262329102,0.774033784866333,0.8545244336128235,0.7634848356246948
22,0.8540686964988708,0.7650099992752075,0.8482747077941895,0.7635482549667358,0.8498589396476746,0.7667841911315918,0.852635383605957,0.7756954431533813,0.8514841794967651,0.761431097984314
23,0.8486584424972534,0.7742766737937927,0.8568592667579651,0.7707020044326782,0.8550013899803162,0.7620663642883301,0.845988929271698,0.7861135005950928,0.8555551767349243,0.7699617743492126
24,0.8498181700706482,0.7889252305030823,0.8495173454284668,0.7893478870391846,0.8466048240661621,0.7759698629379272,0.8507569432258606,0.7537984848022461,0.8547567129135132,0.7681418657302856
25,0.8442610502243042,0.7856568098068237,0.8574385643005371,0.7821862101554871,0.8506773710250854,0.7590487003326416,0.861747145652771,0.7671881914138794,0.8534353375434875,0.769161581993103
26,0.8523824214935303,0.7853637933731079,0.8664828538894653,0.7862533330917358,0.8525183200836182,0.777021050453186,0.8606749773025513,0.7877957224845886,0.8584389090538025,0.7723324298858643
27,0.8515140414237976,0.7811830043792725,0.8595952987670898,0.7864725589752197,0.8632525205612183,0.7774981260299683,0.8526484966278076,0.781444787979126,0.8665532469749451,0.7671294212341309
28,0.8563897013664246,0.7708395719528198,0.8547219634056091,0.7653034925460815,0.8566476702690125,0.7658306360244751,0.8554824590682983,0.7704493999481201,0.8586651086807251,0.7548172473907471
29,0.8625328540802002,0.7717878818511963,0.8602621555328369,0.7855021953582764,0.8528339862823486,0.7847332954406738,0.8497108221054077,0.7920849323272705,0.8634954690933228,0.7650203108787537
30,0.8550082445144653,0.7850651741027832,0.8713569045066833,0.7800477743148804,0.8612272143363953,0.7723233699798584,0.8576883673667908,0.7806171774864197,0.8661178350448608,0.7671537399291992
31,0.867163896560669,0.7694549560546875,0.8603520393371582,0.7786505222320557,0.8643306493759155,0.771138072013855,0.8631026148796082,0.7782023549079895,0.8547376394271851,0.7554112076759338
32,0.8625092506408691,0.7741289138793945,0.8689558506011963,0.7762546539306641,0.8625664710998535,0.7741721272468567,0.8639722466468811,0.7878862619400024,0.8663063645362854,0.7681081295013428
33,0.8688366413116455,0.7798997163772583,0.8697315454483032,0.7714119553565979,0.867825984954834,0.7797801494598389,0.8616238832473755,0.7799016237258911,0.8681188225746155,0.767988920211792
34,0.8628109693527222,0.7780102491378784,0.86903977394104,0.791677713394165,0.8759588599205017,0.7745835185050964,0.8620027303695679,0.7852352261543274,0.8587781190872192,0.7547940015792847
35,0.8705026507377625,0.7818670272827148,0.8658376336097717,0.7878273725509644,0.8648335933685303,0.7785090208053589,0.8710988759994507,0.786626398563385,0.8678076267242432,0.7691735029220581
36,0.8692476749420166,0.7861412763595581,0.869322657585144,0.7905051708221436,0.8644283413887024,0.7797710299491882,0.8643389940261841,0.7881147861480713,0.8615903854370117,0.7785574197769165
37,0.8720116019248962,0.7793321013450623,0.866687536239624,0.7800056338310242,0.8704224824905396,0.7756962776184082,0.8663246631622314,0.7648931741714478,0.870598554611206,0.7662028074264526
38,0.8699204921722412,0.7746825814247131,0.8627608418464661,0.7898889780044556,0.8669402599334717,0.7714041471481323,0.8771406412124634,0.7651707530021667,0.8713892698287964,0.7728078961372375
39,0.8740236759185791,0.7773226499557495,0.8744255900382996,0.7806623578071594,0.8757481575012207,0.7648728489875793,0.8682836294174194,0.7656640410423279,0.8717483282089233,0.7761930227279663
40,0.8756319880485535,0.7844514846801758,0.867585301399231,0.7801544666290283,0.8683528900146484,0.7733420133590698,0.8723838925361633,0.7727634906768799,0.8713414669036865,0.7698458433151245
41,0.8761641383171082,0.7740073204040527,0.8744398355484009,0.7916065454483032,0.8699365854263306,0.773747444152832,0.8747413158416748,0.78447425365448,0.862427830696106,0.7669714689254761
42,0.8651652336120605,0.7863255739212036,0.8762856125831604,0.7851173877716064,0.8765307664871216,0.7793339490890503,0.8733349442481995,0.7740289568901062,0.8724938631057739,0.7750816345214844
43,0.8688081502914429,0.7759541273117065,0.8725696802139282,0.7915154695510864,0.8743427991867065,0.7758373022079468,0.8711138367652893,0.7846245765686035,0.8708521127700806,0.7699617743492126
44,0.8743439316749573,0.772902250289917,0.8707435131072998,0.784172773361206,0.8711174130439758,0.7801769971847534,0.8818545937538147,0.7793575525283813,0.8737785220146179,0.77059406042099
45,0.875534176826477,0.7753993272781372,0.8747351169586182,0.7846013307571411,0.8766403198242188,0.7783044576644897,0.872154712677002,0.7737552523612976,0.8730934858322144,0.7657197713851929
46,0.8704834580421448,0.7810406684875488,0.8780988454818726,0.781828761100769,0.8744274377822876,0.7755533456802368,0.8762730956077576,0.7734801173210144,0.8755148649215698,0.7770923972129822
47,0.8731887340545654,0.7797327637672424,0.8699809312820435,0.7870327234268188,0.8795194625854492,0.7779395580291748,0.877408504486084,0.7893158197402954,0.8752158880233765,0.7688518762588501
48,0.8791239261627197,0.781694769859314,0.8782320022583008,0.7936396598815918,0.8779761791229248,0.774029016494751,0.8704667091369629,0.7832033038139343,0.878865122795105,0.7673081159591675
49,0.8757188320159912,0.7796175479888916,0.8799294233322144,0.7838706970214844,0.8784222602844238,0.7838952541351318,0.8739149570465088,0.7990405559539795,0.8666929006576538,0.7740375995635986
